,fname,summary,topic,dialogue
5673,train_5673,#Person1#은 #Person2#에게 출퇴근 방식과 철도 서비스에 대한 의견을 물어본다.,철도 서비스,"#Person1#: 실례합니다, 선생님. 잠시 시간을 내주실 수 있으신가요?
#Person2#: 음, 네.
#Person1#: 매일 기차로 출근하시나요?
#Person2#: 네. 저는 일주일에 다섯 번 기차로 출퇴근합니다.
#Person1#: 철도 서비스에 대한 생각을 말씀해주실 수 있을까요?
#Person2#: 정말 좋습니다.
#Person1#: 왜 그렇게 말씀하시나요?
#Person2#: 글쎄요, 기차는 자주 오고 시간도 정확하게 맞춰져 있습니다.
#Person1#: 저녁에 어떤 기차를 타시나요?
#Person2#: 보통 5시 반에 타고 집에 가요.
#Person1#: 그럼 좌석에 앉을 수 있나요?
#Person2#: 아니요, 보통 서서 가야 합니다.
#Person1#: 서비스가 빠르다고 동의하시나요?
#Person2#: 네, 상당히 빠르지만 절대로 싸지는 않습니다. 요금이 25% 올랐어요."
8975,train_8975,#Person1#은 기독교인이 아니며 하나님을 믿는 이유를 알고 싶어합니다. 존은 종교에 대한 자신의 의견을 #Person1#과 공유합니다.,종교에 대한 토론,"#Person1#: 저는 기독교인이 아닙니다. 그런데 왜 미국인들이 그런 것을 믿는지 알고 싶어요. 
#Person2#: 무엇을 믿는다는 건가요? 
#Person1#: 그런 것들 말이에요... 예를 들면, 하느님이 우주의 창조주라는 것, 성경, 그리고 예수 그리스도. . . 
#Person2#: 그것을 믿지 않나요? 모든 사람들이 성경을 다르게 해석합니다. 어떤 사람들에게는 복음서가 큰 위안이 됩니다. 
#Person1#: 존, 당신은 무엇을 믿나요? 기독교인인가요? 
#Person2#: 사실 말하자면, 저도 제가 기독교인인지 아닌지 모르겠습니다. 기독교인들도 종종 같은 믿음을 공유하지 않습니다. 하지만 저는 우리 모두가 하나님의 은혜로 이 지구에서 놀라운 변화를 만들어낼 잠재력을 가지고 있다고 믿습니다. 
#Person1#: 당신은 한 종교가 다른 종교보다 더 낫다고 믿나요? 
#Person2#: 아니요, 모든 종교는 본질적으로 같은 이상을 바탕으로 하므로 어느 것이 더 나은 것은 아닙니다. 
#Person1#: 교회에 정기적으로 가나요? 
#Person2#: 미국에 있을 때는 가지만, 중국에선 그렇지 않습니다."
11608,train_11611,#Person1#은 기독교인이 아니며 하나님을 믿는 이유를 알고 싶어합니다. 존은 종교에 대한 자신의 의견을 #Person1#과 공유합니다.,종교,"#Person1#: 저는 기독교인이 아닙니다. 그런데 왜 미국인들이 그런 것을 믿는지 알고 싶어요.
#Person2#: 무엇을 믿는다는 말인가요?
#Person1#: 그런 것들 말이에요. . . 예를 들면, 하느님이 우주의 창조주라고 하거나, 성경이나 예수 그리스도를 믿는다는 것. . .
#Person2#: 그걸 믿지 않는 건가요? 모든 사람들이 성경을 다르게 해석합니다. 어떤 사람들에게는 복음서 5가 큰 위안이 됩니다.
#Person1#: 존, 당신은 무엇을 믿나요? 기독교인가요?
#Person2#: 사실 말하자면, 제가 기독교인지 아닌지 모르겠습니다. 기독교인들은 흔히 같은 믿음을 가지고 있지는 않습니다. 하지만 저는 우리 모두가 하나님의 은혜로 이 지구에서 놀라운 변화를 만들어낼 잠재력을 가지고 있다고 믿습니다.
#Person1#: 당신은 한 종교가 다른 종교보다 더 나은 것이라고 믿나요?
#Person2#: 아니요, 모든 종교는 본질적으로 같은 이상을 바탕으로 하므로 어느 것이 더 나은 것은 아닙니다.
#Person1#: 교회에 정기적으로 가나요?
#Person2#: 미국에 있는 동안에는 가지만, 중국에선 그렇지 않습니다."
6640,train_6640,"#Person1#은 버스 패스에 대해 #Person2#에게 몇 가지 질문을 하고, #Person2#의 도움으로 학생 버스 패스를 받는다.",버스 패스,"#Person1#: 버스 패스는 얼마인가요?
#Person2#: 월간 패스의 경우, 65달러입니다.
#Person1#: 좀 더 저렴한 것은 없나요?
#Person2#: 학생이라면 학생 버스 패스를 받을 수 있습니다.
#Person1#: 학생 패스는 얼마인가요?
#Person2#: 실제 버스 패스는 무료입니다.
#Person1#: 아무 비용도 들지 않나요?
#Person2#: 월간 스티커 비용만 내면 됩니다.
#Person1#: 그 비용은 얼마인가요?
#Person2#: 월 24달러밖에 하지 않습니다.
#Person1#: 좋네요, 그걸로 하겠습니다.
#Person2#: 지금 바로 준비해 드리겠습니다."
6189,train_6189,"#Person1#은 버스 패스에 대해 #Person2#에게 몇 가지 질문을 하고, #Person2#의 도움으로 학생 버스 패스를 받는다.",버스 패스,"#Person1#: 버스 패스는 얼마인가요?
#Person2#: 월간 패스는 65달러입니다.
#Person1#: 더 싼 것은 없나요?
#Person2#: 학교에 다닌다면 학생 패스를 받으실 수 있습니다.
#Person1#: 음, 그건 얼마인가요?
#Person2#: 패스는 무료입니다.
#Person1#: 아무것도 내지 않아도 되나요?
#Person2#: 월간 스티커 비용만 내면 됩니다.
#Person1#: 월간 스티커는 얼마인가요?
#Person2#: 월마다 24달러입니다.
#Person1#: 학생 버스 패스를 받겠습니다.
#Person2#: 알겠습니다, 하나 가져다 드리겠습니다."
830,train_830,#Person1#은 빌과 함께 졸업식에 참석한다. 그들은 졸업에 대한 감정을 표현한다.,복장 규정,"#Person1#: 내일이 제 첫 출근인데, 어떤 옷을 입는 게 좋을까요?
#Person2#: 글쎄요, 전문적이고 진지하며 보수적으로 보이고 싶다면, 파란색 드레스에 흰색 셔츠, 그리고 너무 높지 않은 구두가 최선의 선택일 거예요. 하지만 가끔은 너무 공식적인 옷은 동료들과의 거리를 멀게 만들 수 있어요. 회사의 복장 규정에 따라 다를 것 같아요.
#Person1#: 맞아요, 면접 보러 갔을 때 대부분의 직원들이 캐주얼하게 입고 있더라고요. 매니저만이 정장에 넥타이를 매고 있었고, 방금 행사에서 막 돌아온 것 같았어요. 복장 규정이 그렇게 딱딱하지 않은 것 같아요. 자동차 열쇠와 간단한 셔츠를 입어야겠어요.
#Person2#: 무엇을 선택하든, 깔끔하고 청결한지 확인하세요."
831,train_831,#Person1#은 빌과 함께 졸업식에 참석한다. 그들은 졸업에 대한 감정을 표현한다.,졸업,"#Person1#: 안녕, 빌. 너 졸업식에 갈 거야?
#Person2#: 응. 같이 갈래?
#Person1#: 좋아. (몇 분 후.) 학교 강당으로 들어가자.
#Person2#: 여기 앉아. 무대 위에 책상에 놓인 빨간 졸업장 뭉치들 보여?
#Person1#: 응. 마음이 파도처럼 오르내리고, 가슴 속에는 다양한 감정이 솟아나는 것 같아.
#Person2#: 맞아. 4년 동안의 시련과 고생, 삶의 기쁨과 슬픔이 모두 한꺼번에 떠오르네. 캠퍼스를 떠나 새 생활을 시작할려고 하니까, 기쁜지 슬픈지 나도 잘 모르겠어.
#Person1#: 시간이 진짜 빨리 간다. 대학 총장이 무대에 올라왔어.
#Person2#: 개회사 할 거 같아."
2496,train_2496,#Person1#은 식료품 쇼핑을 갈 예정이지만 무엇을 사야 할지 모른다. #Person2#는 기본적인 것들을 사는 것을 제안한다.,식료품 쇼핑,"#Person1#: 조금 있다 식료품 쇼핑을 갈 거예요.
#Person2#: 왜요, 식료품이 필요한가요?
#Person1#: 음식이 다 떨어진 것 같아요.
#Person2#: 무엇을 사야 할지 알고 있나요?
#Person1#: 우리가 무엇이 필요한지 모르겠어요.
#Person2#: 냉장고를 확인해 보시는 게 어떨까요?
#Person1#: 그걸 대신 해주신다면 감사하겠어요.
#Person2#: 기본적인 것들만 사면 어떨까요?
#Person1#: 무슨 말씀이신지요?
#Person2#: 계란, 우유, 빵. 이런 것들 말이에요.
#Person1#: 그 목록을 만들어 보세요.
#Person2#: 그럼요, 문제 없어요."
6135,train_6135,#Person1#은 식료품 쇼핑을 갈 예정이지만 무엇을 사야 할지 모른다. #Person2#는 기본적인 것들을 사는 것을 제안한다.,쇼핑 가기,"#Person1#: 조금 있다 식료품 쇼핑을 갈 거예요. 
#Person2#: 왜요, 식료품이 필요한가요? 
#Person1#: 음식이 다 떨어진 것 같아요. 
#Person2#: 무엇을 사야 할지 알고 있나요? 
#Person1#: 무엇이 필요한지 모르겠어요. 
#Person2#: 냉장고를 확인해 보는게 어떨까요? 
#Person1#: 그걸 대신 해 주신다면 감사하겠어요. 
#Person2#: 기본적인 것들만 사 오시는게 어떨까요? 
#Person1#: 무슨 뜻인가요? 
#Person2#: 계란, 우유, 빵. 이런 것들 말이에요. 
#Person1#: 그 목록을 만들어 봅시다. 
#Person2#: 좋죠."
7529,train_7529,#Person1#은 자신이 MP3 플레이어와 스테레오 헤드폰을 가지고 있기 때문에 #Person1#이 주변에서 가장 멋진 하이테크 스터드라고 생각한다. #Person2#는 그것을 보고 싶어한다.,직업 면접,"#Person1#: 안녕하세요, 저는 다니엘입니다. 저는 매니저 직책에 지원하고 있습니다. 
#Person2#: 네. 앉으세요, 부탁드립니다. 우리 회사에 대해 어떻게 알게 되셨나요? 
#Person1#: LUX, LIPTON, WALLS와 같은 유명 브랜드를 통해 귀사를 알게 되었습니다. 고객 설문조사를 진행한 후, 귀사의 제품이 수백만 중국인들에게 인정받고 있다는 것을 알게 되어 기뻤습니다. 
#Person2#: 왜 우리와 함께 일하고 싶으신가요? 
#Person1#: 제가 관심 있는 일입니다. 그리고 귀사는 가장 잘 알려져 있습니다. 매니저로서의 경험이 많지는 않지만, 저에게 보내주신 직무 설명서가 매우 흥미로웠습니다. 제가 꿈꾸던 일이며, 그 일을 수행하는 데 적합하다고 느낍니다. 
#Person2#: 오, 정말요? 기대한 것이 아니라면 다른 회사로 이직하실 생각이 있나요? 
#Person1#: 그렇지 않을 것 같습니다. '큰 참나무는 깊은 뿌리가 필요하다'라는 말이 있습니다. 저는 이 일에 정말로 관심이 있습니다. 
#Person2#: 좋습니다. 우리를 찾아와 주셔서 감사합니다. 이번 주 내로 직무에 대해 알려드릴 수 있기를 바랍니다."
7527,train_7527,#Person1#은 자신이 MP3 플레이어와 스테레오 헤드폰을 가지고 있기 때문에 #Person1#이 주변에서 가장 멋진 하이테크 스터드라고 생각한다. #Person2#는 그것을 보고 싶어한다.,하이테크 스터드,"#Person1#: 나는 주변에서 가장 멋진 하이테크 스터드야. . . 
#Person2#: 왜? 로봇 여자친구가 있어? 
#Person1#: 아직은 없어. . . 나는 MP3 플레이어와 스테레오 헤드폰을 가지고 있어. 
#Person2#: 그래서 네트에서 MP3 음악을 다운로드 받아 MP3 칩에 녹음할 수 있어? 
#Person1#: 그래! 그리고 어디든지 가지고 다닐 수 있어! 그리고 음악은 무료야! 
#Person2#: 보여줘! 너무 작아!"
7528,train_7528,#Person1#은 자신이 MP3 플레이어와 스테레오 헤드폰을 가지고 있기 때문에 #Person1#이 주변에서 가장 멋진 하이테크 스터드라고 생각한다. #Person2#는 그것을 보고 싶어한다.,정보 얻기,"#Person1#: 보고서 작성을 시작했나요? 
#Person2#: 정보를 얻는 데 어려움을 겪고 있어요. 
#Person1#: 그건 쉬워요. 원하는 정보를 얻기 위해 인터넷만 검색하면 돼요. 
#Person2#: 아, 그 생각을 못했네요."
9947,train_9947,"#Person1#은 컴퓨터가 아이들에게 생각하는 법을 가르친다고 생각하는 반면, 짐은 컴퓨터가 아이들의 생각하는 능력을 약화시킨다고 생각한다.",컴퓨터의 영향,"#Person1#: 잘 알려져 있듯이, 짐, 나는... 나는 대체적으로 너의 컴퓨터를 찬성하고 있어. 나는 컴퓨터가 아이들에게 생각하는 법을 가르친다고 생각해, 왜냐하면 그들은 논리적인 생각을 요구하거든. 
#Person2#: 하지만 나는... 나는 그것에 동의하지 않아. 왜냐하면 컴퓨터는 아이들의 생각하는 능력을 약화시키기 때문이야. 아이들은 기본적인 기술을 배우지 않거든. 
#Person1#: 그게 무슨 뜻이야? 
#Person2#: 그들은 철자를 할 수 없고, 더하기를 할 수 없고, 빼기를 할 수 없어. 심지어 그들은 더 이상 기억하지도 않아. 그것은 그들이 가제트에 의존하기 때문이야. 
#Person1#: 그건 가제트가 아니야. 프로그램을 만드는 것은 생각을 자극하거든. 그것은 그들의 상상력을 자극하고 그들의 마음을 날카롭게 만들어."
10095,train_10095,"#Person1#은 컴퓨터가 아이들에게 생각하는 법을 가르친다고 생각하는 반면, 짐은 컴퓨터가 아이들의 생각하는 능력을 약화시킨다고 생각한다.",컴퓨터의 영향,"#Person1#: 잘 알려져 있듯이, 짐, 나는... 나는 컴퓨터를 꽤 좋아해. 나는 컴퓨터가 아이들에게 생각하는 법을 가르친다고 생각해, 왜냐하면 그들은 논리적인 생각을 요구하거든. 
#Person2#: 하지만 나는... 나는 그것에 동의하지 않아, 왜냐하면 컴퓨터는 아이들의 생각하는 능력을 약화시키기 때문이야, 아이들은 기본적인 기술을 배우지 않거든. 
#Person1#: 무슨 말이야? 
#Person2#: 그들은 철자를 할 수 없고, 더하기를 할 수 없고, 빼기도 할 수 없어, 심지어 더 이상 기억조차 하지 않아. 그것은 그들이 가제트에 의존하기 때문이야. 
#Person1#: 그건 가제트가 아니야. 프로그램을 만드는 것은 생각을 자극하는 거야."
2680,train_2680,#Person1#은 톰에게 여러 가지를 요청하며 그의 약속을 청한다.,약속,"#Person1#: 톰, 너 폐를 잘라야 한다고 약속했잖아. 잊지 않을거지? 
#Person2#: 아니, 확신할게. 
#Person1#: 그리고 텔레비전도 수리할거지? 
#Person2#: 알았어. 
#Person1#: 약속해? 
#Person2#: 물론이지. 
#Person1#: 그리고 톰, 쟈니의 숙제를 도와줄거지? 
#Person2#: 봐야겠어. 할 수 있으면 도와줄게. 하지만 약속은 못하겠어. 
#Person1#: 하지만 오늘 저녁 식사에 늦지 않을거라고 약속할거지? 
#Person2#: 그래. 하지만 너가 예쁘게 부탁하면 말이야. 
#Person1#: 톰, 사랑하는 내 사람. 오늘 저녁 식사에 늦지 않으려고 노력할거지? 제발! 
#Person2#: 알았어. 약속을 지킬게."
10360,train_10360,#Person1#은 톰에게 여러 가지를 요청하며 그의 약속을 청한다.,약속 지키기,"#Person1#: 톰, 너 폐를 잘라야 한다고 약속했잖아. 잊지 않을거지?
#Person2#: 아니, 확신할게요.
#Person1#: 그리고 텔레비전도 수리할거지?
#Person2#: 알았어.
#Person1#: 약속해?
#Person2#: 물론이지.
#Person1#: 그리고 톰, 쟈니의 숙제를 도와줄거지?
#Person2#: 볼게. 할 수 있으면 도와줄게. 하지만 약속은 못하겠어.
#Person1#: 하지만 오늘 저녁 식사에 늦지 않을거라고 약속할거지?
#Person2#: 그래. 하지만 예의바르게 부탁해야 해.
#Person1#: 톰, 사랑하는 내 사람. 오늘 저녁 식사에 늦지 않으려고 노력할거지? 제발!
#Person2#: 알았어. 약속을 지킬게."
7556,train_7556,#Person2#는 #Person1#와 함께 쇼핑을 갈 예정입니다. #Person2#는 필요한 물건들의 목록을 만들고 신용카드를 가져갑니다.,쇼핑 가기,"#Person1#: 쇼핑 가기 준비 됐어요?
#Person2#: 조금만 기다려요. 우리가 필요한 물건들 목록을 만들어야 해요.
#Person1#: 좋은 생각이에요. 차, 계란, 감자를 적었나요?
#Person2#: 감자를 잊어버렸네요. 아, 전자레인지가 급하게 필요하다는 걸 거의 잊어버렸어요. 어떤 차를 선호하세요? 녹차인가요 아니면 꽃차인가요?
#Person1#: 둘 다 사요. 돈은 충분히 가져왔나요?
#Person2#: 현금은 부족하지만, 신용카드를 가져갈게요."
7557,train_7557,#Person2#는 #Person1#와 함께 쇼핑을 갈 예정입니다. #Person2#는 필요한 물건들의 목록을 만들고 신용카드를 가져갑니다.,계약서 서명,"#Person1#: 딩 씨, 안녕하세요? 저는 존 브라운입니다.
#Person2#: 만나서 반갑습니다, 브라운 씨.
#Person1#: 자리에 앉아주세요. 우리 고용 담당자가 이미 귀하의 직원 계약에 대한 정보를 제공했을 것이지만, 계약서에 서명하기 전에 주요 내용을 다시 한번 살펴보고 싶습니다. 먼저, 월급제로 근무하게 되며, 1년 근무 후 1개월의 유급 휴가를 받게 됩니다. 수습 기간은 없습니다.
#Person2#: 그렇게 이해했습니다.
#Person1#: 근무 중에는 우리의 의료 보험에 가입됩니다. 중간 관리직이므로, 정상 근무 시간 이후 최대 1시간까지 근무할 수 있어야 합니다. 승인된 초과 근무는 시간당 지급되며, 급여로 받거나 휴가로 받을 수 있습니다.
#Person2#: 정확히 이해했습니다.
#Person1#: 합리적인 휴가 일수는 회사에서 지원됩니다. 장기 병가는 보험에서 지원됩니다. 계약서의 다른 조항들을 읽어 보셨나요?
#Person2#: 네, 읽었습니다.
#Person1#: 질문이 있으신가요?
#Person2#: 하나 있습니다. 유연 근무 시간에 대한 항목을 보았는데, 저에게 가능한가요?
#Person1#: 가능합니다만, 세부 사항은 담당 관리자와 상의해야 합니다.
#Person2#: 좋습니다. 이제 여기에 서명만 하시면, 3일 후에 근무를 시작하실 수 있습니다."
6680,train_6680,#Person2#는 오늘이 #Person1#와 #Person2#의 결혼 기념일이라는 것을 잊어버렸다. #Person1#는 화가 났다.,결혼 기념일,"#Person1#: 안녕, 자기야, 오늘이 무슨 중요한 날인지 알아? 
#Person2#: 모르겠어. 
#Person1#: 좀 더 생각해봐. 
#Person2#: 아, 알겠어. 
#Person1#: 자기야, 너가 잊어버릴 리 없어. 
#Person2#: 오늘은 토요일이야, 멋진 주말이지. 
#Person1#: 으, 너 정말 나를 실망시켰어.
#Person2#: 나한테 화내지 마. 나 기억력이 안 좋아. 
#Person1#: 아니야, 너 기억력이 안 좋은 게 아니야. 그냥 나한테 신경 안 쓰는 거야. 넌 무심한 남편이야. 
#Person2#: 도대체 오늘이 무슨 날이야? 
#Person1#: 우리 결혼 기념일이야."
6659,train_6659,#Person2#는 오늘이 #Person1#와 #Person2#의 결혼 기념일이라는 것을 잊어버렸다. #Person1#는 화가 났다.,결혼 기념일,"#Person1#: 안녕, 자기야, 오늘이 무슨 중요한 날인지 알아? 
#Person2#: 모르겠어. 
#Person1#: 좀 더 생각해봐. 
#Person2#: 아, 알겠어. 
#Person1#: 자기야, 너가 잊어버릴 리 없어. 
#Person2#: 오늘은 토요일이야, 멋진 주말이지. 
#Person1#: 으, 너 정말 나를 실망시켰어.
#Person2#: 나한테 화내지 마. 나 기억력이 안 좋아. 
#Person1#: 아니야, 너 기억력이 안 좋은 게 아니야. 그냥 나한테 신경 안 쓰는 거야. 넌 무심한 남편이야. 
#Person2#: 도대체 오늘이 무슨 날이야? 
#Person1#: 우리 결혼 기념일이야."
2246,train_2246,데이비드는 구매한 오래된 책들을 미국으로 가져갈 것입니다. 그는 #Person1#에게 중국으로 돌아오는 것이 그의 어머니의 건강 상태에 달려 있다고 말합니다.,미래 계획,"#Person1#: 데이비드, 어디서 이렇게 많은 오래된 책들을 구했어요?
#Person2#: 어떤 졸업생들이 중고 책을 팔고 있었어요. 정말 싸서 몇 권 샀어요.
#Person1#: 하지만 2주 후에 중국을 떠나지 않나요? 이렇게 많은 책들을 어떻게 다 읽을 수 있나요?
#Person2#: 이 책들을 미국으로 가져갈 거예요. 계속해서 중국어를 향상시키고 싶은데 이 책들이 많은 도움이 될 거예요.
#Person1#: 언제 다시 중국에 오실 건가요?
#Person2#: 잘 모르겠어요. 아마 몇 년 후일 수도 있고, 아마 내년일 수도 있어요. 그건 상황에 따라 달라요.
#Person1#: 무엇에 따라 달라지나요?
#Person2#: 엄마의 회복 여부에 따라 달라져요. 엄마가 아직 아프시다면, 엄마를 놔두고 중국에서 일할 수는 없어요."
2059,train_2059,데이비드는 구매한 오래된 책들을 미국으로 가져갈 것입니다. 그는 #Person1#에게 중국으로 돌아오는 것이 그의 어머니의 건강 상태에 달려 있다고 말합니다.,중국 떠나기,"#Person1#: 데이비드, 어디서 이렇게 많은 오래된 책들을 구했어요?
#Person2#: 어떤 졸업생들이 중고 책을 팔고 있었어요. 정말 싸서 몇 권 샀어요.
#Person1#: 하지만 2주 후에 중국을 떠나지 않나요? 이렇게 많은 책들을 어떻게 다 읽을 수 있나요?
#Person2#: 이 책들을 미국으로 가져갈 거예요. 계속해서 중국어를 향상시키고 싶은데 이 책들이 많은 도움이 될 거예요.
#Person1#: 언제 다시 중국에 오실 건가요?
#Person2#: 잘 모르겠어요. 아마 몇 년 후일 수도 있고, 아마 내년일 수도 있어요. 그건 상황에 따라 달라요.
#Person1#: 무엇에 따라 달라지나요?
#Person2#: 엄마의 회복 여부에 따라 달라져요. 엄마가 아직 아프시다면, 엄마를 놔두고 중국에서 일할 수는 없어요."
9846,train_9846,통통이 #Person1#에게 숙제를 곧 끝낼 것이라고 말한다.,숙제,"#Person1#: 통통아, 숙제 다 했어? 우리 아빠를 역으로 만나러 가야 해.
#Person2#: 지금 숙제하느라 바빠. 선생님이 내일 아침에 제출하라고 했어. 잠시만, 곧 끝낼게."
11627,train_11630,통통이 #Person1#에게 숙제를 곧 끝낼 것이라고 말한다.,숙제,"#Person1#: 통통아, 숙제 다 했니? 아빠를 역에서 만나러 가야 해.
#Person2#: 지금 숙제하느라 바빠요. 선생님이 내일 아침에 제출하라고 했어요. 잠시만요. 곧 끝낼게요."
